Datum;Grupp;Serie;Värde
2000-01-03;Valutor mot svenska kronor;1 CAD;5,855
2000-01-04;Valutor mot svenska kronor;1 CAD;5,79
2000-01-05;Valutor mot svenska kronor;1 CAD;5,745
2000-01-06;Valutor mot svenska kronor;1 CAD;N/A
2000-01-07;Valutor mot svenska kronor;1 CAD;5,74
2000-01-08;Valutor mot svenska kronor;1 CAD;N/A
2000-01-09;Valutor mot svenska kronor;1 CAD;N/A
2000-01-10;Valutor mot svenska kronor;1 CAD;5,785
2000-01-11;Valutor mot svenska kronor;1 CAD;5,785
2000-01-12;Valutor mot svenska kronor;1 CAD;5,7525
2000-01-13;Valutor mot svenska kronor;1 CAD;5,7875
2000-01-14;Valutor mot svenska kronor;1 CAD;5,8125
2000-01-15;Valutor mot svenska kronor;1 CAD;N/A
2000-01-16;Valutor mot svenska kronor;1 CAD;N/A
2000-01-17;Valutor mot svenska kronor;1 CAD;5,845
2000-01-18;Valutor mot svenska kronor;1 CAD;5,845
2000-01-19;Valutor mot svenska kronor;1 CAD;5,8425
2000-01-20;Valutor mot svenska kronor;1 CAD;5,8475
2000-01-21;Valutor mot svenska kronor;1 CAD;5,84
2000-01-22;Valutor mot svenska kronor;1 CAD;N/A
2000-01-23;Valutor mot svenska kronor;1 CAD;N/A
2000-01-24;Valutor mot svenska kronor;1 CAD;5,925
2000-01-25;Valutor mot svenska kronor;1 CAD;5,87
2000-01-26;Valutor mot svenska kronor;1 CAD;5,9175
2000-01-27;Valutor mot svenska kronor;1 CAD;5,925
2000-01-28;Valutor mot svenska kronor;1 CAD;6,0325
2000-01-29;Valutor mot svenska kronor;1 CAD;N/A
2000-01-30;Valutor mot svenska kronor;1 CAD;N/A
2000-01-31;Valutor mot svenska kronor;1 CAD;6,055
2000-02-01;Valutor mot svenska kronor;1 CAD;6,11
2000-02-02;Valutor mot svenska kronor;1 CAD;6,055
2000-02-03;Valutor mot svenska kronor;1 CAD;6,05
2000-02-04;Valutor mot svenska kronor;1 CAD;5,93
2000-02-05;Valutor mot svenska kronor;1 CAD;N/A
2000-02-06;Valutor mot svenska kronor;1 CAD;N/A
2000-02-07;Valutor mot svenska kronor;1 CAD;5,9975
2000-02-08;Valutor mot svenska kronor;1 CAD;5,97
2000-02-09;Valutor mot svenska kronor;1 CAD;5,92
2000-02-10;Valutor mot svenska kronor;1 CAD;5,905
2000-02-11;Valutor mot svenska kronor;1 CAD;5,92
2000-02-12;Valutor mot svenska kronor;1 CAD;N/A
2000-02-13;Valutor mot svenska kronor;1 CAD;N/A
2000-02-14;Valutor mot svenska kronor;1 CAD;5,9125
2000-02-15;Valutor mot svenska kronor;1 CAD;5,9275
2000-02-16;Valutor mot svenska kronor;1 CAD;5,975
2000-02-17;Valutor mot svenska kronor;1 CAD;5,9475
2000-02-18;Valutor mot svenska kronor;1 CAD;5,96
2000-02-19;Valutor mot svenska kronor;1 CAD;N/A
2000-02-20;Valutor mot svenska kronor;1 CAD;N/A
2000-02-21;Valutor mot svenska kronor;1 CAD;5,98
2000-02-22;Valutor mot svenska kronor;1 CAD;5,9125
2000-02-23;Valutor mot svenska kronor;1 CAD;5,835
2000-02-24;Valutor mot svenska kronor;1 CAD;5,8675
